Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"175621","1","175664","","2008-10-06 18:35:50","","4","8001","<p>I want completely automated integration testing for a Maven project.  The integration tests require that an external (platform-dependent) program is started before running.  Ideally, the external program would be killed after the unit tests are finished, but is not necessary.  </p>

<p>Is there a Maven plugin to accomplish this?  Other ideas?</p>
","12880","flicken","4249","","2009-06-25 16:54:15","2011-08-23 17:10:19","Starting external process during integration testing in maven","<java><maven-2><build-process><automated-tests><integration-testing>","5","0","4","",""
"235224","1","235235","","2008-10-24 20:54:01","","18","8001","<p>I am curious to do what happens when you edit a post on this site.</p>

<p>I am using wmd for my markdown editor, of course when I goto edit, I get the HTML it generated not the markdown like on stackoverflow.  Now, is there a way I can store both?  or is it reliable enough to simply convert the HTML back to markdown to show in the wmd editor?</p>

<p>Thanks!</p>
","29466","Ryan M","","","","2015-12-09 23:05:46","Convert HTML back to Markdown for editing in wmd","<markdown><wmd>","5","0","7","",""
"190890","1","191745","","2008-10-10 11:23:35","","46","8003","<p>does it matter at all what order the <code>&lt;link&gt;</code> or <code>&lt;script&gt;</code> or <code>&lt;meta&gt;</code> tags are in in the <code>&lt;head&gt;&lt;/head&gt;</code>?</p>

<p>(daft question but one of those things i've never given any thought to until now.)</p>
","26107","Pickledegg","","","","2014-02-28 19:47:39","Order of tags in <head></head>","<html><xhtml>","14","0","9","",""
"404083","1","404148","","2008-12-31 21:37:04","","31","8005","<p>I read <a href=""http://www.codinghorror.com/blog/archives/000621.html"" rel=""noreferrer"">this post</a> last night, and I noticed it was from 2006.  I could go either way on the ORM, database thing, but I was just wondering if everything bad Jeff said about ORM still applies even now considering the post is from 2006.</p>
","18149","leeand00","1","Jeff Atwood","2008-12-31 22:12:22","2019-10-01 23:50:07","Is ORM still the ""Vietnam of Computer Science""?","<database><language-agnostic><orm>","10","6","13","",""
"263333","1","1534277","","2008-11-04 20:36:37","","1","8005","<p>I have seen some gridview header freezing examples on the web but I have a special case where the gridview is in a fixed width div. The examples I tried make the header fixed but the full width of the header is shown and it overflows out of the div while the grid body has a horizontal scroll bar.</p>

<p>I need it to:<br>
1- Header and tbody scroll together horizontally and both confined in the fixed width div.<br>
2- Header is fixed while gridview body scrolls vertically.<br>
3- Don't want to use a commercial grid.<br>
4- I am using IE only. Don't care if it works in FF, Opera, ..etc.</p>
","5232","Abdu","","","","2009-12-04 19:00:03","Freezing gridview header in a fixed width div","<gridview>","2","0","","",""
"227288","1","227336","","2008-10-22 19:51:35","","13","8005","<p><a href=""http://developer.yahoo.com/yui/compressor/"" rel=""nofollow noreferrer"">YUI Compressor</a> does not accept wildcard parameters, so I cannot run it like this:  </p>

<pre><code>C:&gt;java -jar yuicompressor.jar *.js
</code></pre>

<p>But I have over 500 files and would rather not have to create a batch file like this:</p>

<pre><code>C:&gt;java -jar yuicompressor.jar file1.js -o deploy\file1.js
C:&gt;java -jar yuicompressor.jar file2.js -o deploy\file2.js
...
C:&gt;java -jar yuicompressor.jar file500.js -o deploy\file500.js
</code></pre>

<p>And of course my file names are <em>not</em> in such uniform way.</p>

<p>Is there way to automate this without writing any code? :)</p>
","28098","sneg","","","","2012-05-03 09:09:08","How to automate JavaScript files compression with YUI Compressor?","<javascript><batch-file><yui>","6","1","9","",""
"128279","1","6371772","","2008-09-24 16:42:35","","13","8007","<p>I have a <a href=""http://en.wikipedia.org/wiki/WiX"" rel=""nofollow noreferrer"">WiX</a> installer and a single custom action (plus undo and rollback) for it which uses a property from the installer. The custom action has to happen after all the files are on the hard disk. It seems that you need 16 entries in the WXS file for this; eight within the root, like so:</p>

<pre><code>&lt;CustomAction Id=""SetForRollbackDo"" Execute=""immediate"" Property=""RollbackDo"" Value=""[MYPROP]""/&gt;
&lt;CustomAction Id=""RollbackDo"" Execute=""rollback"" BinaryKey=""MyDLL"" DllEntry=""UndoThing"" Return=""ignore""/&gt;
&lt;CustomAction Id=""SetForDo"" Execute=""immediate"" Property=""Do"" Value=""[MYPROP]""/&gt;
&lt;CustomAction Id=""Do"" Execute=""deferred"" BinaryKey=""MyDLL"" DllEntry=""DoThing"" Return=""check""/&gt;
&lt;CustomAction Id=""SetForRollbackUndo"" Execute=""immediate"" Property=""RollbackUndo"" Value=""[MYPROP]""/&gt;
&lt;CustomAction Id=""RollbackUndo"" Execute=""rollback"" BinaryKey=""MyDLL"" DllEntry=""DoThing"" Return=""ignore""/&gt;
&lt;CustomAction Id=""SetForUndo"" Execute=""immediate"" Property=""Undo"" Value=""[MYPROP]""/&gt;
&lt;CustomAction Id=""Undo"" Execute=""deferred"" BinaryKey=""MyDLL"" DllEntry=""UndoThing"" Return=""check""/&gt;
</code></pre>

<p>And eight within the <code>InstallExecuteSequence</code>, like so:</p>

<pre><code>&lt;Custom Action=""SetForRollbackDo"" After=""InstallFiles""&gt;REMOVE&amp;lt;&gt;""ALL""&lt;/Custom&gt;
&lt;Custom Action=""RollbackDo"" After=""SetForRollbackDo""&gt;REMOVE&amp;lt;&gt;""ALL""&lt;/Custom&gt;
&lt;Custom Action=""SetForDo"" After=""RollbackDo""&gt;REMOVE&amp;lt;&gt;""ALL""&lt;/Custom&gt;
&lt;Custom Action=""Do"" After=""SetForDo""&gt;REMOVE&amp;lt;&gt;""ALL""&lt;/Custom&gt;
&lt;Custom Action=""SetForRollbackUndo"" After=""InstallInitialize""&gt;REMOVE=""ALL""&lt;/Custom&gt;
&lt;Custom Action=""RollbackUndo"" After=""SetForRollbackUndo""&gt;REMOVE=""ALL""&lt;/Custom&gt;
&lt;Custom Action=""SetForUndo"" After=""RollbackUndo""&gt;REMOVE=""ALL""&lt;/Custom&gt;
&lt;Custom Action=""Undo"" After=""SetForUndo""&gt;REMOVE=""ALL""&lt;/Custom&gt;
</code></pre>

<p>Is there a better way?</p>
","20686","Khoth","63550","Khoth","2013-06-17 19:25:37","2014-08-06 16:31:44","How best to define a custom action in WiX?","<installer><wix>","3","0","7","",""
"81154","1","","","2008-09-17 08:34:17","","2","8007","<p>I have an MS Access database, how can I determine which encoding characters are used in the database?</p>
","205368","Wizard4U","2174085","CodingTheWheel","2013-08-22 14:26:46","2015-05-25 21:36:06","How do I determine which encoding system is used in my MS Access database","<ms-access>","3","0","1","",""
"284784","1","284790","","2008-11-12 18:05:38","","10","8007","<p>Some databases support commands such as:</p>

<pre><code>SELECT TOP 10 START AT 10 * FROM &lt;TABLE&gt;
</code></pre>

<p>Essentially I need to pull the first 10 records, then the next 10, then the next 10 etc.  Maybe there is another way to do this but in the past I've done it like the above for databases that support 'START AT'.</p>
","5678","anderson","521799","Mark Brady","2012-01-12 08:19:19","2013-12-03 09:13:42","Is there a 'START AT' equivalent in MS-SQL?","<sql><sql-server>","4","1","4","",""
"457378","1","457387","","2009-01-19 11:54:14","","1","8008","<p>The question is clear from the title.</p>

<p>Is there an SDK for the Java Micro Edition available for Mac OS X or Linux? Or does one need Windows XP to develop JME applications?</p>
","42303","hhafez","714","Chris Hanson","2009-01-22 09:54:29","2019-05-03 21:18:44","Java Micro Edition (JME) SDK for Mac OS X or Linux","<linux><macos><java-me>","6","1","","",""
